1535316487672443915,81263,1535316487659395462,nan,nan,nan,nan,nan,nan,nan
1535316487696667515,81264,1535316487683648458,nan,nan,nan,nan,nan,nan,nan
1535316487709218640,81265,1535316487696313670,nan,nan,nan,nan,nan,nan,nan
1535316487722448890,81266,1535316487709455531,nan,nan,nan,nan,nan,nan,nan
1535316487748628771,81267,1535316487735551212,nan,nan,nan,nan,nan,nan,nan
1535316487763152075,81268,1535316487750238331,nan,nan,nan,nan,nan,nan,nan
1535316487778308206,81269,1535316487765317988,nan,nan,nan,nan,nan,nan,nan
1535316487796307209,81270,1535316487783390494,nan,nan,nan,nan,nan,nan,nan
1535316487809562527,81271,1535316487796550738,nan,nan,nan,nan,nan,nan,nan
1535316487822035173,81272,1535316487809198059,nan,nan,nan,nan,nan,nan,nan
1535316487847292973,81273,1535316487833258263,nan,nan,nan,nan,nan,nan,nan
1535316487859562347,81274,1535316487846310599,nan,nan,nan,nan,nan,nan,nan
1535316487872736368,81275,1535316487859428952,nan,nan,nan,nan,nan,nan,nan
1535316487896825207,81276,1535316487883424274,nan,nan,nan,nan,nan,nan,nan
1535316487909770259,81277,1535316487896348977,nan,nan,nan,nan,nan,nan,nan
1535316487922395222,81278,1535316487909466803,nan,nan,nan,nan,nan,nan,nan
1535316487948540481,81279,1535316487935518296,nan,nan,nan,nan,nan,nan,nan
1535316487963880897,81280,1535316487950224196,nan,nan,nan,nan,nan,nan,nan
1535316487978529624,81281,1535316487965250846,nan,nan,nan,nan,nan,nan,nan
1535316487998231210,81282,1535316487985314484,nan,nan,nan,nan,nan,nan,nan
1535316488013316967,81283,1535316488000383363,nan,nan,nan,nan,nan,nan,nan
1535316488028246141,81284,1535316488015275460,nan,nan,nan,nan,nan,nan,nan
1535316488047643127,81285,1535316488033339125,nan,nan,nan,nan,nan,nan,nan
1535316488059775266,81286,1535316488046375527,nan,nan,nan,nan,nan,nan,nan
1535316488072323212,81287,1535316488059328399,nan,nan,nan,nan,nan,nan,nan
1535316488096347835,81288,1535316488083363432,nan,nan,nan,nan,nan,nan,nan
1535316488109426603,81289,1535316488096410082,nan,nan,nan,nan,nan,nan,nan
1535316488122829911,81290,1535316488109310862,nan,nan,nan,nan,nan,nan,nan
1535316488146379416,81291,1535316488133119048,nan,nan,nan,nan,nan,nan,nan
1535316488159173251,81292,1535316488146227123,nan,nan,nan,nan,nan,nan,nan
1535316488172252136,81293,1535316488159308224,nan,nan,nan,nan,nan,nan,nan
1535316488196260179,81294,1535316488183248710,nan,nan,nan,nan,nan,nan,nan
1535316488209230394,81295,1535316488196234526,nan,nan,nan,nan,nan,nan,nan
1535316488221976518,81296,1535316488209080114,nan,nan,nan,nan,nan,nan,nan
